level,period,year,month,month_code,bcg,ipv,penta1,penta3,penta_all_ages,mcv1,mcv_all_ages,rota2,full_vacc
6,2014-07,2014,July,07,0,836,952,865,163155,1096,3035,1184,1059
5,2015-09,2015,September,09,0,36,40,40,13999,32,89,40,32
4,2015-10,2015,October,10,0,13,21,17,7897,9,31,19,8
6,2014-01,2014,January,01,0,751,789,770,125611,748,2518,936,719
6,2014-02,2014,February,02,0,707,832,718,120505,791,2498,998,778
6,2014-05,2014,May,05,0,700,781,719,109190,829,2342,1025,809
6,2015-07,2015,July,07,0,863,973,903,164673,1151,3385,1032,1132
6,2015-09,2015,September,09,0,991,1004,1052,171040,1314,3470,1189,1283
5,2014-08,2014,August,08,0,27,44,28,13345,35,78,48,35
5,2014-11,2014,November,11,0,38,39,40,13455,39,79,49,38
4,2014-01,2014,January,01,0,13,24,15,6482,2,25,19,1
4,2014-05,2014,May,05,0,12,27,12,5017,13,24,19,11
4,2015-01,2015,January,01,0,16,23,21,6244,14,34,25,10
4,2015-04,2015,April,04,0,12,33,15,7075,13,35,19,13
4,2015-05,2015,May,05,0,18,36,19,6552,11,29,31,12
6,2014-11,2014,November,11,0,952,873,1026,150840,825,3024,1234,802
6,2015-03,2015,March,03,0,1092,817,1133,158308,1063,3217,1176,1028
6,2015-06,2015,June,06,0,1136,779,1188,159072,1059,3250,1072,1030
6,2015-08,2015,August,08,0,870,1142,933,163083,1201,3450,1471,1166
5,2014-07,2014,July,07,0,31,49,34,14461,41,87,41,41
5,2015-02,2015,February,02,0,24,42,26,11590,39,85,41,39
4,2014-08,2014,August,08,0,14,32,15,6735,14,30,24,14
4,2014-11,2014,November,11,0,28,32,30,6447,15,30,24,14
4,2015-08,2015,August,08,0,14,43,24,8022,15,33,43,13
5,2014-03,2014,March,03,0,32,32,33,9073,37,71,36,35
5,2014-04,2014,April,04,0,22,32,23,9505,31,65,36,31
5,2015-03,2015,March,03,0,33,42,33,12639,42,77,35,42
5,2015-08,2015,August,08,0,29,52,36,13904,43,83,64,43
4,2015-06,2015,June,06,0,16,28,18,7261,12,36,25,10
4,2015-09,2015,September,09,0,26,36,31,7860,14,39,25,12
6,2015-02,2015,February,02,0,930,797,974,155202,877,3118,1281,854
6,2015-05,2015,May,05,0,1066,860,1118,155602,1044,3169,1606,1022
5,2013-11,2013,November,11,0,31,42,31,11092,37,71,47,36
5,2014-01,2014,January,01,0,29,43,30,12825,32,83,48,32
5,2014-05,2014,May,05,0,36,51,36,10912,40,71,57,40
4,2013-12,2013,December,12,0,17,28,18,6481,8,28,21,10
4,2014-12,2014,December,12,0,15,28,16,6525,15,44,19,13
6,2015-10,2015,October,10,0,845,672,892,175331,1188,3370,985,1163
5,2015-06,2015,June,06,0,35,34,37,13112,46,83,48,46
4,2014-04,2014,April,04,0,6,18,7,4596,6,22,10,7
6,2013-11,2013,November,11,0,853,839,887,122667,863,2637,1247,841
6,2014-12,2014,December,12,0,946,943,993,155126,868,3096,1069,851
6,2015-04,2015,April,04,0,973,1087,1006,179618,1245,3117,1074,1203
5,2014-02,2014,February,02,0,26,31,27,9705,35,75,46,34
5,2014-12,2014,December,12,0,32,41,35,12990,39,80,35,39
4,2014-06,2014,June,06,0,15,21,15,5703,11,29,18,12
4,2014-07,2014,July,07,0,8,24,9,7144,13,31,19,13
4,2015-02,2015,February,02,0,18,26,20,5794,12,36,24,13
6,2015-01,2015,January,01,0,827,941,888,157596,898,3118,1143,879
5,2014-06,2014,June,06,0,28,37,29,12790,36,79,39,36
5,2014-10,2014,October,10,0,45,44,45,13861,57,88,65,57
5,2015-01,2015,January,01,0,34,43,35,13423,42,84,48,41
5,2015-10,2015,October,10,0,21,31,25,14994,39,80,34,39
4,2013-11,2013,November,11,0,23,32,23,7237,9,32,26,7
6,2014-08,2014,August,08,0,1012,1010,1046,174830,1277,3144,1222,1188
6,2014-10,2014,October,10,0,1099,829,1181,182474,1160,3117,1205,1135
5,2014-09,2014,September,09,0,37,49,38,14086,50,84,40,49
5,2015-04,2015,April,04,0,32,56,35,13175,36,65,49,35
4,2014-03,2014,March,03,0,12,18,13,3981,17,26,15,16
4,2014-09,2014,September,09,0,16,31,17,6993,8,24,26,8
4,2015-03,2015,March,03,0,17,27,19,6214,15,36,21,16
6,2013-12,2013,December,12,0,875,746,909,118574,763,2491,964,746
6,2014-03,2014,March,03,0,708,572,731,98843,729,2044,917,722
6,2014-04,2014,April,04,0,702,627,722,106662,796,2235,722,777
6,2014-06,2014,June,06,0,754,915,773,139823,959,2750,877,930
6,2014-09,2014,September,09,0,1068,1023,1136,173441,1298,3090,1276,1241
5,2013-12,2013,December,12,0,32,47,34,11471,42,78,41,43
5,2015-05,2015,May,05,0,34,52,36,13135,41,67,52,40
5,2015-07,2015,July,07,0,26,60,30,13858,38,78,34,38
4,2014-02,2014,February,02,0,16,21,16,4817,14,31,18,13
4,2014-10,2014,October,10,0,18,24,23,6779,12,33,29,12
4,2015-07,2015,July,07,0,15,42,16,8020,11,35,28,12
