hf_id,hf_name,indicator,iqr,sd,ttt
UaDWR9HAzbS,Makefta Health Post,bcg,7.0,0.0,2.0
UaDWR9HAzbS,Makefta Health Post,ipv,1.0,1.0,1.0
UaDWR9HAzbS,Makefta Health Post,penta1,1.0,1.0,1.0
UaDWR9HAzbS,Makefta Health Post,penta3,1.0,1.0,1.0
rfbZv81lGcA,Gashoaba Health Post,ipv,0.0,1.0,1.0
rfbZv81lGcA,Gashoaba Health Post,penta3,0.0,1.0,1.0
rfbZv81lGcA,Gashoaba Health Post,mcv1,0.0,0.0,1.0
rfbZv81lGcA,Gashoaba Health Post,full_vacc,0.0,0.0,1.0
ZFqzLugY3mb,Felwuha Health Post,bcg,1.0,0.0,1.0
ZFqzLugY3mb,Felwuha Health Post,ipv,1.0,0.0,1.0
ZFqzLugY3mb,Felwuha Health Post,penta1,2.0,1.0,1.0
ZFqzLugY3mb,Felwuha Health Post,penta3,1.0,0.0,1.0
ZFqzLugY3mb,Felwuha Health Post,mcv1,0.0,1.0,1.0
ZFqzLugY3mb,Felwuha Health Post,rota2,0.0,0.0,2.0
ZFqzLugY3mb,Felwuha Health Post,full_vacc,0.0,1.0,1.0
n8Cb22v56oP,Gelego Health Center,ipv,1.0,1.0,1.0
n8Cb22v56oP,Gelego Health Center,penta3,1.0,1.0,1.0
OoWQRyWH9dL,Kuni Health Center,ipv,0.0,0.0,1.0
OoWQRyWH9dL,Kuni Health Center,penta1,0.0,0.0,1.0
OoWQRyWH9dL,Kuni Health Center,penta3,0.0,0.0,1.0
OoWQRyWH9dL,Kuni Health Center,mcv1,1.0,1.0,1.0
OoWQRyWH9dL,Kuni Health Center,rota2,0.0,0.0,1.0
OoWQRyWH9dL,Kuni Health Center,full_vacc,0.0,1.0,1.0
ujD0DpdgTsd,Tara Gedam health post,bcg,0.0,0.0,1.0
ujD0DpdgTsd,Tara Gedam health post,mcv1,1.0,1.0,1.0
iCu9ULGkywD,Asgedo Health Post,mcv1,1.0,1.0,1.0
iCu9ULGkywD,Asgedo Health Post,full_vacc,1.0,1.0,1.0
IlaEvMgiiBu,Shumige Health Post,ipv,0.0,1.0,1.0
IlaEvMgiiBu,Shumige Health Post,penta1,0.0,0.0,1.0
IlaEvMgiiBu,Shumige Health Post,penta3,1.0,1.0,1.0
IlaEvMgiiBu,Shumige Health Post,mcv1,0.0,0.0,1.0
IlaEvMgiiBu,Shumige Health Post,rota2,0.0,0.0,1.0
IlaEvMgiiBu,Shumige Health Post,full_vacc,1.0,0.0,1.0
FxVyQvGMWAM,Zagol Health Post,ipv,0.0,0.0,1.0
FxVyQvGMWAM,Zagol Health Post,penta1,1.0,1.0,1.0
FxVyQvGMWAM,Zagol Health Post,penta3,0.0,0.0,1.0
BOe6XGsuxkF,Bilbua health post,penta1,0.0,0.0,1.0
btP7baKOwNV,Berkut Health Post,bcg,1.0,1.0,1.0
btP7baKOwNV,Berkut Health Post,ipv,0.0,0.0,1.0
btP7baKOwNV,Berkut Health Post,penta3,0.0,0.0,1.0
btP7baKOwNV,Berkut Health Post,mcv1,0.0,1.0,1.0
btP7baKOwNV,Berkut Health Post,rota2,0.0,0.0,1.0
btP7baKOwNV,Berkut Health Post,full_vacc,0.0,1.0,1.0
OUAYMS1uDsY,Segno Gebeya Health Center,penta1,0.0,0.0,1.0
x4FET6PzlaN,Shedo Health Post,bcg,1.0,1.0,1.0
x4FET6PzlaN,Shedo Health Post,ipv,2.0,1.0,2.0
x4FET6PzlaN,Shedo Health Post,penta1,3.0,1.0,2.0
x4FET6PzlaN,Shedo Health Post,penta3,2.0,1.0,2.0
x4FET6PzlaN,Shedo Health Post,mcv1,3.0,2.0,2.0
x4FET6PzlaN,Shedo Health Post,rota2,2.0,0.0,2.0
x4FET6PzlaN,Shedo Health Post,full_vacc,3.0,2.0,2.0
BIkCWXDPDPX,Yergin Health Post,bcg,0.0,0.0,1.0
BIkCWXDPDPX,Yergin Health Post,ipv,2.0,0.0,1.0
BIkCWXDPDPX,Yergin Health Post,penta1,0.0,1.0,1.0
BIkCWXDPDPX,Yergin Health Post,penta3,2.0,0.0,1.0
BIkCWXDPDPX,Yergin Health Post,rota2,1.0,1.0,1.0
jsdT5MScB1B,Lach Health Post,ipv,2.0,0.0,1.0
jsdT5MScB1B,Lach Health Post,penta1,1.0,1.0,1.0
jsdT5MScB1B,Lach Health Post,penta3,2.0,0.0,1.0
jsdT5MScB1B,Lach Health Post,mcv1,2.0,0.0,2.0
jsdT5MScB1B,Lach Health Post,rota2,0.0,0.0,1.0
jsdT5MScB1B,Lach Health Post,full_vacc,2.0,0.0,2.0
ds1qXJOr4Vl,Webikencharit Health Post,bcg,1.0,1.0,1.0
ds1qXJOr4Vl,Webikencharit Health Post,ipv,2.0,2.0,2.0
ds1qXJOr4Vl,Webikencharit Health Post,penta1,1.0,1.0,1.0
ds1qXJOr4Vl,Webikencharit Health Post,penta3,2.0,2.0,2.0
ds1qXJOr4Vl,Webikencharit Health Post,mcv1,3.0,0.0,2.0
ds1qXJOr4Vl,Webikencharit Health Post,rota2,1.0,1.0,1.0
ds1qXJOr4Vl,Webikencharit Health Post,full_vacc,3.0,0.0,2.0
jJV89aaCS8O,Zanabo Health Post,bcg,0.0,1.0,1.0
jJV89aaCS8O,Zanabo Health Post,ipv,0.0,0.0,1.0
jJV89aaCS8O,Zanabo Health Post,penta3,0.0,0.0,1.0
jJV89aaCS8O,Zanabo Health Post,mcv1,1.0,1.0,1.0
jJV89aaCS8O,Zanabo Health Post,rota2,0.0,0.0,1.0
jJV89aaCS8O,Zanabo Health Post,full_vacc,1.0,1.0,1.0
E1lv4id85hx,Keda Health Post,bcg,1.0,1.0,1.0
E1lv4id85hx,Keda Health Post,ipv,0.0,0.0,1.0
E1lv4id85hx,Keda Health Post,penta1,0.0,0.0,1.0
E1lv4id85hx,Keda Health Post,penta3,0.0,0.0,1.0
E1lv4id85hx,Keda Health Post,mcv1,2.0,1.0,1.0
E1lv4id85hx,Keda Health Post,rota2,1.0,0.0,1.0
E1lv4id85hx,Keda Health Post,full_vacc,2.0,1.0,1.0
bOEr29UCTwd,Den Health Center,ipv,1.0,1.0,1.0
bOEr29UCTwd,Den Health Center,penta1,0.0,0.0,1.0
bOEr29UCTwd,Den Health Center,penta3,1.0,1.0,1.0
bOEr29UCTwd,Den Health Center,rota2,0.0,0.0,1.0
NOMDPysllTb,Chagni Health Center,bcg,0.0,0.0,1.0
NOMDPysllTb,Chagni Health Center,ipv,0.0,0.0,1.0
NOMDPysllTb,Chagni Health Center,penta3,0.0,0.0,1.0
NOMDPysllTb,Chagni Health Center,rota2,0.0,0.0,1.0
qUrMwmcCAQj,Wureba Health Post,penta1,0.0,0.0,1.0
km5RcAWTvmi,Edo Medine Health Post,bcg,2.0,0.0,1.0
km5RcAWTvmi,Edo Medine Health Post,ipv,2.0,0.0,1.0
km5RcAWTvmi,Edo Medine Health Post,penta1,3.0,0.0,1.0
km5RcAWTvmi,Edo Medine Health Post,penta3,2.0,0.0,1.0
km5RcAWTvmi,Edo Medine Health Post,mcv1,1.0,1.0,1.0
km5RcAWTvmi,Edo Medine Health Post,rota2,2.0,1.0,1.0
km5RcAWTvmi,Edo Medine Health Post,full_vacc,1.0,1.0,1.0
vfH1IumSyAg,Gelebe Health Post,bcg,1.0,1.0,1.0
vfH1IumSyAg,Gelebe Health Post,ipv,0.0,0.0,2.0
vfH1IumSyAg,Gelebe Health Post,penta1,0.0,0.0,1.0
vfH1IumSyAg,Gelebe Health Post,penta3,0.0,0.0,2.0
vfH1IumSyAg,Gelebe Health Post,mcv1,2.0,1.0,1.0
vfH1IumSyAg,Gelebe Health Post,rota2,0.0,0.0,1.0
vfH1IumSyAg,Gelebe Health Post,full_vacc,2.0,1.0,1.0
QrFApwocfxi,Fati Health Post,ipv,1.0,1.0,1.0
QrFApwocfxi,Fati Health Post,penta1,1.0,1.0,1.0
QrFApwocfxi,Fati Health Post,penta3,1.0,1.0,1.0
QrFApwocfxi,Fati Health Post,mcv1,1.0,1.0,1.0
QrFApwocfxi,Fati Health Post,rota2,1.0,1.0,1.0
QrFApwocfxi,Fati Health Post,full_vacc,1.0,1.0,1.0
btJMxKo27y3,Waro Health Post,bcg,2.0,1.0,1.0
btJMxKo27y3,Waro Health Post,ipv,1.0,0.0,1.0
btJMxKo27y3,Waro Health Post,penta1,3.0,1.0,1.0
btJMxKo27y3,Waro Health Post,penta3,1.0,0.0,1.0
btJMxKo27y3,Waro Health Post,mcv1,3.0,0.0,1.0
btJMxKo27y3,Waro Health Post,rota2,2.0,0.0,2.0
btJMxKo27y3,Waro Health Post,full_vacc,3.0,0.0,1.0
u5yDOCTeRxc,Zaba Health Post,bcg,0.0,0.0,1.0
u5yDOCTeRxc,Zaba Health Post,ipv,0.0,0.0,1.0
u5yDOCTeRxc,Zaba Health Post,penta1,1.0,1.0,1.0
u5yDOCTeRxc,Zaba Health Post,penta3,0.0,0.0,1.0
u5yDOCTeRxc,Zaba Health Post,mcv1,0.0,0.0,1.0
u5yDOCTeRxc,Zaba Health Post,rota2,0.0,0.0,1.0
u5yDOCTeRxc,Zaba Health Post,full_vacc,0.0,0.0,1.0
zKAad5y3swJ,Tele Health Post,ipv,0.0,0.0,1.0
zKAad5y3swJ,Tele Health Post,penta1,0.0,0.0,1.0
zKAad5y3swJ,Tele Health Post,penta3,0.0,0.0,1.0
zKAad5y3swJ,Tele Health Post,mcv1,1.0,0.0,1.0
zKAad5y3swJ,Tele Health Post,full_vacc,1.0,0.0,1.0
NhQqLVlojEU,Bollo Health Post,mcv1,0.0,0.0,1.0
NhQqLVlojEU,Bollo Health Post,full_vacc,0.0,0.0,1.0
PoFkqftSRwa,Berkeza Health Post,penta1,4.0,1.0,1.0
PoFkqftSRwa,Berkeza Health Post,penta3,1.0,0.0,0.0
PoFkqftSRwa,Berkeza Health Post,mcv1,2.0,1.0,1.0
PoFkqftSRwa,Berkeza Health Post,rota2,0.0,0.0,1.0
PoFkqftSRwa,Berkeza Health Post,full_vacc,1.0,1.0,1.0
dFa4ZKXO7Hq,Turet Health Post,mcv1,0.0,0.0,1.0
dFa4ZKXO7Hq,Turet Health Post,full_vacc,0.0,0.0,1.0
aHQxr6jUXJ7,Guguftu Health Post,bcg,0.0,1.0,1.0
aHQxr6jUXJ7,Guguftu Health Post,ipv,1.0,1.0,1.0
aHQxr6jUXJ7,Guguftu Health Post,penta1,0.0,1.0,1.0
aHQxr6jUXJ7,Guguftu Health Post,penta3,1.0,1.0,1.0
aHQxr6jUXJ7,Guguftu Health Post,mcv1,2.0,1.0,1.0
aHQxr6jUXJ7,Guguftu Health Post,rota2,1.0,1.0,1.0
aHQxr6jUXJ7,Guguftu Health Post,full_vacc,2.0,1.0,1.0
PRVlMashcKG,Hudad Health Post,bcg,0.0,0.0,1.0
PRVlMashcKG,Hudad Health Post,ipv,0.0,0.0,1.0
PRVlMashcKG,Hudad Health Post,penta1,0.0,1.0,1.0
PRVlMashcKG,Hudad Health Post,penta3,0.0,0.0,1.0
PRVlMashcKG,Hudad Health Post,mcv1,0.0,0.0,1.0
PRVlMashcKG,Hudad Health Post,rota2,0.0,0.0,1.0
PRVlMashcKG,Hudad Health Post,full_vacc,0.0,0.0,1.0
oQRrDCxoZNT,Tagele Wedefit Health Center,penta1,1.0,1.0,1.0
oQRrDCxoZNT,Tagele Wedefit Health Center,rota2,1.0,1.0,1.0
HYgRIFWsgqe,Ansa Health Post,bcg,0.0,0.0,1.0
HYgRIFWsgqe,Ansa Health Post,penta1,0.0,0.0,1.0
HYgRIFWsgqe,Ansa Health Post,mcv1,1.0,1.0,1.0
HYgRIFWsgqe,Ansa Health Post,full_vacc,1.0,1.0,1.0
KA8wArRocR7,Abiyot Fana Deremeni Health Post,ipv,0.0,0.0,1.0
KA8wArRocR7,Abiyot Fana Deremeni Health Post,penta3,0.0,0.0,1.0
KA8wArRocR7,Abiyot Fana Deremeni Health Post,rota2,0.0,0.0,1.0
pPrjH9CDNxJ,Washa Health Post,rota2,0.0,0.0,1.0
qLybHhkZ8a8,Enetemen Health Post,bcg,1.0,1.0,1.0
qLybHhkZ8a8,Enetemen Health Post,ipv,0.0,0.0,1.0
qLybHhkZ8a8,Enetemen Health Post,penta3,1.0,0.0,2.0
qLybHhkZ8a8,Enetemen Health Post,mcv1,2.0,1.0,2.0
qLybHhkZ8a8,Enetemen Health Post,rota2,0.0,0.0,1.0
qLybHhkZ8a8,Enetemen Health Post,full_vacc,1.0,1.0,1.0
IznalUR8gi7,Gefat Hp Health Post,mcv1,1.0,1.0,1.0
IznalUR8gi7,Gefat Hp Health Post,full_vacc,1.0,1.0,1.0
yzdN5gDqYoy,Assinuara Health Post,penta1,0.0,0.0,1.0
ekhsyNuSXnU,Jankel Health Center,bcg,0.0,0.0,1.0
ekhsyNuSXnU,Jankel Health Center,penta1,0.0,0.0,1.0
ekhsyNuSXnU,Jankel Health Center,mcv1,1.0,1.0,1.0
ekhsyNuSXnU,Jankel Health Center,rota2,0.0,0.0,1.0
ekhsyNuSXnU,Jankel Health Center,full_vacc,1.0,1.0,1.0
fCR1LadpRXX,Nebiss Gebia kutir 1 Health Post,bcg,1.0,1.0,1.0
fCR1LadpRXX,Nebiss Gebia kutir 1 Health Post,ipv,1.0,1.0,1.0
fCR1LadpRXX,Nebiss Gebia kutir 1 Health Post,penta1,3.0,1.0,1.0
fCR1LadpRXX,Nebiss Gebia kutir 1 Health Post,penta3,2.0,1.0,1.0
fCR1LadpRXX,Nebiss Gebia kutir 1 Health Post,mcv1,0.0,1.0,1.0
fCR1LadpRXX,Nebiss Gebia kutir 1 Health Post,rota2,1.0,1.0,1.0
fCR1LadpRXX,Nebiss Gebia kutir 1 Health Post,full_vacc,0.0,1.0,1.0
OUjEj27YlIq,Nebiss Gebia kutir 2 Health Post,bcg,0.0,0.0,1.0
OUjEj27YlIq,Nebiss Gebia kutir 2 Health Post,ipv,1.0,1.0,1.0
OUjEj27YlIq,Nebiss Gebia kutir 2 Health Post,penta1,1.0,1.0,1.0
OUjEj27YlIq,Nebiss Gebia kutir 2 Health Post,penta3,1.0,1.0,1.0
OUjEj27YlIq,Nebiss Gebia kutir 2 Health Post,mcv1,0.0,1.0,1.0
OUjEj27YlIq,Nebiss Gebia kutir 2 Health Post,rota2,1.0,1.0,1.0
OUjEj27YlIq,Nebiss Gebia kutir 2 Health Post,full_vacc,0.0,1.0,1.0
tepIH35O1th,Gunda Health Post,ipv,4.0,1.0,1.0
tepIH35O1th,Gunda Health Post,penta1,3.0,0.0,2.0
tepIH35O1th,Gunda Health Post,penta3,4.0,1.0,1.0
tepIH35O1th,Gunda Health Post,mcv1,1.0,1.0,1.0
tepIH35O1th,Gunda Health Post,rota2,3.0,0.0,2.0
tepIH35O1th,Gunda Health Post,full_vacc,1.0,1.0,1.0
H1hFqQHZPTS,Soras Health Post,bcg,1.0,1.0,1.0
H1hFqQHZPTS,Soras Health Post,ipv,0.0,0.0,2.0
H1hFqQHZPTS,Soras Health Post,penta1,0.0,0.0,1.0
H1hFqQHZPTS,Soras Health Post,penta3,0.0,0.0,2.0
H1hFqQHZPTS,Soras Health Post,rota2,0.0,0.0,1.0
AqCYAsX9Xcp,Addisalem Health Post,penta1,1.0,1.0,1.0
AqCYAsX9Xcp,Addisalem Health Post,rota2,5.0,0.0,1.0
vTZWLdUAeUT,Jandab Health Post,bcg,1.0,1.0,1.0
vTZWLdUAeUT,Jandab Health Post,ipv,0.0,0.0,1.0
vTZWLdUAeUT,Jandab Health Post,penta1,0.0,0.0,1.0
vTZWLdUAeUT,Jandab Health Post,penta3,0.0,0.0,1.0
vTZWLdUAeUT,Jandab Health Post,mcv1,1.0,1.0,1.0
vTZWLdUAeUT,Jandab Health Post,rota2,1.0,1.0,1.0
vTZWLdUAeUT,Jandab Health Post,full_vacc,1.0,1.0,1.0
ySp780kCoH8,Dingayber Selasie Health Post,bcg,1.0,1.0,1.0
uzeLX82vgrd,Kerer Health Post,bcg,0.0,0.0,1.0
uzeLX82vgrd,Kerer Health Post,ipv,1.0,1.0,1.0
uzeLX82vgrd,Kerer Health Post,penta1,0.0,0.0,1.0
uzeLX82vgrd,Kerer Health Post,penta3,1.0,1.0,1.0
jqQfz3osikM,Abara Health Post,bcg,1.0,1.0,1.0
jqQfz3osikM,Abara Health Post,ipv,0.0,1.0,1.0
jqQfz3osikM,Abara Health Post,penta1,1.0,1.0,1.0
jqQfz3osikM,Abara Health Post,penta3,0.0,1.0,1.0
NIxmfEBzq5P,Sata Mederaron Health Center,penta1,0.0,0.0,1.0
zrWBFH0JWmy,Adis Amba Health Post,ipv,4.0,0.0,1.0
zrWBFH0JWmy,Adis Amba Health Post,penta1,3.0,0.0,1.0
zrWBFH0JWmy,Adis Amba Health Post,penta3,4.0,0.0,1.0
zrWBFH0JWmy,Adis Amba Health Post,mcv1,2.0,0.0,2.0
zrWBFH0JWmy,Adis Amba Health Post,rota2,4.0,1.0,1.0
zrWBFH0JWmy,Adis Amba Health Post,full_vacc,2.0,0.0,2.0
ZzXGby05NAJ,Tirumada Health Post,bcg,1.0,1.0,1.0
Dqe2rdfg5LG,Megezeze Health Post,mcv1,1.0,0.0,1.0
Dqe2rdfg5LG,Megezeze Health Post,full_vacc,1.0,0.0,1.0
JymQ7YW4HQj,Dangula Health Post,bcg,0.0,0.0,1.0
JymQ7YW4HQj,Dangula Health Post,mcv1,0.0,0.0,1.0
JymQ7YW4HQj,Dangula Health Post,full_vacc,0.0,0.0,1.0
vb1QyNab5xG,Zantera Health Post,ipv,0.0,1.0,1.0
vb1QyNab5xG,Zantera Health Post,penta3,0.0,1.0,1.0
vb1QyNab5xG,Zantera Health Post,mcv1,2.0,0.0,1.0
vb1QyNab5xG,Zantera Health Post,full_vacc,2.0,0.0,1.0
gz3ib1Ven0i,Bchena Debir Health Post,bcg,1.0,1.0,1.0
gz3ib1Ven0i,Bchena Debir Health Post,ipv,0.0,1.0,1.0
gz3ib1Ven0i,Bchena Debir Health Post,penta1,0.0,0.0,1.0
gz3ib1Ven0i,Bchena Debir Health Post,penta3,0.0,1.0,1.0
gz3ib1Ven0i,Bchena Debir Health Post,mcv1,0.0,0.0,1.0
gz3ib1Ven0i,Bchena Debir Health Post,rota2,0.0,0.0,1.0
gz3ib1Ven0i,Bchena Debir Health Post,full_vacc,0.0,0.0,1.0
ywOSe6eEsqh,Wogeda Health Post,bcg,0.0,0.0,1.0
ywOSe6eEsqh,Wogeda Health Post,ipv,0.0,0.0,1.0
ywOSe6eEsqh,Wogeda Health Post,penta1,0.0,0.0,1.0
ywOSe6eEsqh,Wogeda Health Post,penta3,0.0,0.0,1.0
ywOSe6eEsqh,Wogeda Health Post,mcv1,0.0,0.0,1.0
ywOSe6eEsqh,Wogeda Health Post,full_vacc,0.0,1.0,1.0
NPXNwuWR7mp,Kisat Kola Health Post,ipv,1.0,1.0,1.0
NPXNwuWR7mp,Kisat Kola Health Post,penta1,1.0,1.0,1.0
NPXNwuWR7mp,Kisat Kola Health Post,penta3,1.0,1.0,1.0
NPXNwuWR7mp,Kisat Kola Health Post,mcv1,2.0,1.0,2.0
NPXNwuWR7mp,Kisat Kola Health Post,rota2,1.0,1.0,1.0
NPXNwuWR7mp,Kisat Kola Health Post,full_vacc,2.0,1.0,2.0
H3FSFruNQVP,Billi Health Center,bcg,1.0,0.0,1.0
