hf_id,hf_name,indicator,iqr,sd,ttt
i7TJMQZ6vrd,Maynegad Haelth Post,full_vacc,2.0,1.0,2.0
Ry6jwl7Pu3Z,Amed washa Health Post,mcv1,0.0,1.0,1.0
QrIn3Nl3TOo,Wofit Health Center,bcg,0.0,0.0,0.0
YVwCtlPb9Ch,Lamgeno Health Center,rota2,0.0,0.0,1.0
buMcJ7SAup5,Tita 011 Health Post,penta3,0.0,0.0,0.0
buMcJ7SAup5,Tita 011 Health Post,full_vacc,0.0,0.0,0.0
sP5khss2zJf,Lay Sayda Health Post,mcv1,0.0,0.0,0.0
MdRFZveyvrk,Aykel Health Center,penta1,0.0,0.0,2.0
QNa5bCWn2Ou,Yewula Health Post,ipv,0.0,0.0,0.0
QNa5bCWn2Ou,Yewula Health Post,penta1,0.0,0.0,0.0
z6z9tpS8fYY,Ginb Health Post,mcv1,0.0,0.0,1.0
ZX6KZewHKBZ,Tibaka  health post,ipv,0.0,0.0,0.0
ZX6KZewHKBZ,Tibaka  health post,penta1,0.0,0.0,1.0
wjC4KfEJCdu,Ayida Health Post,full_vacc,2.0,0.0,2.0
ddBfwy0bZPa,Selamgie Health Center,ipv,0.0,0.0,0.0
ddBfwy0bZPa,Selamgie Health Center,penta1,0.0,0.0,0.0
lgH1Uamn9Gj,Wondye Health Center,rota2,0.0,1.0,2.0
E6IZQGxBrgp,Kachur Health Post,ipv,0.0,0.0,0.0
E6IZQGxBrgp,Kachur Health Post,penta1,0.0,0.0,0.0
Aln4kXsGqm6,Felege Birhan Health Center,bcg,0.0,0.0,1.0
fM0P5o02t4T,Tamawit Health Post,mcv1,0.0,0.0,0.0
xOA01MzkkdV,Arkane Begola Health Center,mcv1,0.0,0.0,0.0
uVqpBOcn1pi,Mukali Health Post,penta3,1.0,1.0,1.0
uVqpBOcn1pi,Mukali Health Post,rota2,2.0,1.0,1.0
TiBKoUaWGDk,Wertej Health Post,penta3,0.0,0.0,0.0
ibNG4F5TTK1,Silda Health Post,mcv1,1.0,1.0,1.0
gvAKPj1RlGi,Risegenet Health post,bcg,0.0,0.0,0.0
OrabbtBw1U7,Wollela Bahir Health Center,mcv1,0.0,0.0,0.0
zHTctUQlYVG,Semagn Health Post,penta1,2.0,1.0,1.0
Ex3gb7ULynW,Misrak Belen Health Post,full_vacc,0.0,0.0,1.0
e33xqGvGmwF,Wefit Health Post,mcv1,1.0,1.0,1.0
UcCxMJE3bhQ,Kestambula Health Post,rota2,1.0,1.0,1.0
MSOT7nvpSEe,Agunchet Health Post,ipv,0.0,0.0,1.0
MSOT7nvpSEe,Agunchet Health Post,penta1,1.0,1.0,1.0
NmRZATvlh7L,Bakona Health Post,full_vacc,0.0,0.0,1.0
JLtwJ4V6hay,Dukakit Health Post,rota2,0.0,0.0,0.0
yOjoMqx4Hgc,Brure Health Post,mcv1,0.0,1.0,1.0
SKdebS8U80d,Mintura Health Post,full_vacc,1.0,1.0,1.0
DKKktdtW92M,Chefehuriso Health Post,bcg,0.0,0.0,1.0
QLfru1YCY3q,Robit Health Post,penta3,0.0,0.0,0.0
DOQ07hP6Ik5,Bilajeg Health Post,full_vacc,0.0,0.0,0.0
mZKFhQO6Yya,Kosay chore Health Post,bcg,0.0,0.0,0.0
MUmzA9dOQs9,Konen Health Post,bcg,0.0,0.0,0.0
HpCpVcY1nYv,Lemon Health Post,penta3,1.0,1.0,1.0
pAz5YluNxE6,Lumamie Primary Hospital,mcv1,0.0,1.0,1.0
LtFhO3vu4D0,Adigagra Health Center,mcv1,0.0,0.0,0.0
b48XJEUoKbp,Wolleh Health Center,bcg,0.0,0.0,0.0
fgphIByr1aJ,Astiebogy Health Post,bcg,0.0,0.0,0.0
C5kfGRRgVsO,Aguta Health Post,rota2,0.0,1.0,1.0
h3loFPe9nj9,Degera Health Post,bcg,0.0,0.0,1.0
WKraTge2qyb,Enajima Health Post,penta3,0.0,0.0,1.0
WKraTge2qyb,Enajima Health Post,full_vacc,0.0,0.0,0.0
hFFZF0DTHMH,Abiyot Fere Health Post,penta1,0.0,0.0,0.0
w1o6mfPtGVC,Kat Health Center,bcg,0.0,0.0,0.0
MDoi8Nlzb87,Demeko Health Post,mcv1,0.0,0.0,1.0
lki245AvOUO,Kegn Abo Health Post,ipv,0.0,0.0,0.0
lki245AvOUO,Kegn Abo Health Post,penta1,0.0,0.0,0.0
SPwKfcTisKR,Michig  Health Post,penta3,0.0,0.0,1.0
K2JhHWMZPO5,Amijaye Health Post ,penta3,0.0,0.0,0.0
kCSdpERhrQc,Wunbiri Wundigi Health Center,bcg,0.0,0.0,0.0
krwx2JW7PZa,Gedam Lejamor Health Post,mcv1,4.0,1.0,1.0
PpwVQTPDyIe,Dikularba Health Center,mcv1,0.0,0.0,0.0
gkSOYQeIgXg,Kitalgne Health Post,full_vacc,0.0,0.0,0.0
JiB0NsmawNR,Abiyehaila Health Post,full_vacc,1.0,1.0,1.0
se0QG5jqrTY,Wurara Health Post,mcv1,2.0,1.0,1.0
PuNvvRqiFsv,Tsana Health Center,bcg,0.0,0.0,0.0
q61HFifKJAC,Wonjeta Health Post,mcv1,1.0,1.0,1.0
sGaxTJ0hKbU,Karima Health Post,full_vacc,0.0,0.0,1.0
lU3fNbJY3TH,Fezel Health Post,bcg,0.0,0.0,0.0
AmqLhS65CBJ,Janguta Health Post,penta3,0.0,0.0,0.0
PEapuckMFgj,Angoba Health Post,full_vacc,0.0,0.0,0.0
F0Q7CPUvwKQ,Amarit Health Post,full_vacc,0.0,0.0,0.0
xQynx9PBlK2,Sayint Primary Hospital,mcv1,0.0,0.0,1.0
k9dr99Qjgts,Gibtsawit Health Post,mcv1,0.0,1.0,1.0
OuxpIGSnikQ,Libiso Health Post,rota2,3.0,0.0,1.0
e0N5dB5Vj90,Sama senbet Health Post,penta1,0.0,0.0,0.0
s2WulsztQlu,Zego Health Post,penta3,0.0,0.0,0.0
s2WulsztQlu,Zego Health Post,full_vacc,0.0,0.0,0.0
uLXcmFnDJJr,Gug Health Post,bcg,0.0,0.0,0.0
OLPdJjGn3D9,kidisgay Health Post,ipv,0.0,0.0,0.0
OLPdJjGn3D9,kidisgay Health Post,penta1,0.0,0.0,0.0
UxN9MM7GvD8,Kile Health Post,mcv1,2.0,1.0,2.0
wpjCEAN4mm5,Wogeltena Health Center,full_vacc,1.0,1.0,1.0
SKJWoHe7k6R,Magot Health Post,ipv,0.0,1.0,1.0
SKJWoHe7k6R,Magot Health Post,rota2,0.0,0.0,0.0
rKEIfRQD7jb,Boru Silassie Health Center,ipv,0.0,0.0,0.0
rKEIfRQD7jb,Boru Silassie Health Center,rota2,0.0,0.0,0.0
mZS6xh7DveG,Gebreguracha Health Post,mcv1,1.0,1.0,1.0
lFlpdTZFP3D,Goda Health Post,penta3,0.0,0.0,1.0
lFlpdTZFP3D,Goda Health Post,full_vacc,1.0,1.0,1.0
q6Ht7flqQtx,Sanja Primary Hospital,mcv1,0.0,0.0,0.0
tnHfcRirilx,Enchet Kab Health Post,penta3,1.0,1.0,1.0
a7TPSSf8oxF,Kore Health Post,mcv1,0.0,0.0,0.0
F0zeSCUuYJD,Biterfo Health Post,full_vacc,2.0,1.0,1.0
PbfDC1Y8Pq0,Doba Health Post,mcv1,0.0,0.0,0.0
xGWLfWY7NI1,Wogesa Health Post,ipv,1.0,1.0,1.0
xGWLfWY7NI1,Wogesa Health Post,rota2,1.0,1.0,1.0
RR7ri1fyCNM,Dubeta Health Post,rota2,1.0,1.0,1.0
SupqzqHjuW7,Serity Health Post,mcv1,0.0,0.0,1.0
RGQrdkqo02p,Senbetgie Health Post,bcg,0.0,0.0,2.0
iN1X6sRHdDw,Ager selam Health Post,penta3,0.0,0.0,0.0
iN1X6sRHdDw,Ager selam Health Post,full_vacc,0.0,0.0,0.0
p6YN5HUaF9R,Mircha Health Post,ipv,0.0,0.0,0.0
p6YN5HUaF9R,Mircha Health Post,penta1,0.0,0.0,1.0
wqmSlToQBsb,Mess Health Post,rota2,0.0,0.0,1.0
j7aUGideZdC,Dembia Primary Hospital,mcv1,0.0,0.0,0.0
wprKoIJqBaI,010 Metene Health Post,penta1,0.0,0.0,0.0
WwSo8fbHVvM,Legdia Health Post,penta3,1.0,0.0,1.0
WwSo8fbHVvM,Legdia Health Post,rota2,1.0,1.0,1.0
zNKhoCfFjCq,Tilili Health center,bcg,1.0,1.0,1.0
kDFk2nX8U11,Kurt Bahir Health Post,mcv1,0.0,0.0,0.0
