level,indicator,iqr,zscore,ttt
6,ipv,1615.0,1104.0,2532.0
6,rota2,1565.0,1077.0,2505.0
4,full_vacc,7.0,7.0,26.0
6,bcg,1563.0,1086.0,2266.0
6,penta1,1622.0,1184.0,2542.0
6,penta3,1644.0,1098.0,2549.0
5,mcv1,31.0,27.0,58.0
5,rota2,16.0,15.0,53.0
4,penta1,6.0,6.0,25.0
5,ipv,15.0,19.0,50.0
6,mcv1,2026.0,1469.0,2841.0
4,penta3,6.0,5.0,22.0
5,bcg,17.0,14.0,41.0
5,full_vacc,31.0,25.0,57.0
6,full_vacc,1944.0,1403.0,2801.0
4,mcv1,9.0,6.0,28.0
4,rota2,12.0,4.0,27.0
4,ipv,6.0,5.0,25.0
5,penta1,19.0,21.0,53.0
4,bcg,7.0,10.0,31.0
5,penta3,17.0,20.0,53.0
