level,period,year,month,month_code,indicator,iqr,zscore,ttt
6,2014-01,2014.0,January,01,bcg,33.0,26.0,62.0
6,2014-10,2014.0,October,10,bcg,166.0,122.0,233.0
6,2015-03,2015.0,March,03,bcg,23.0,11.0,49.0
6,2015-06,2015.0,June,06,bcg,37.0,22.0,47.0
6,2015-09,2015.0,September,09,bcg,97.0,84.0,155.0
6,2014-02,2014.0,February,02,ipv,19.0,13.0,46.0
6,2014-09,2014.0,September,09,ipv,168.0,110.0,208.0
6,2015-04,2015.0,April,04,ipv,67.0,47.0,122.0
6,2015-05,2015.0,May,05,ipv,25.0,9.0,34.0
6,2015-08,2015.0,August,08,ipv,52.0,31.0,73.0
6,2015-02,2015.0,February,02,penta1,23.0,11.0,48.0
6,2015-04,2015.0,April,04,penta1,122.0,99.0,188.0
6,2015-08,2015.0,August,08,penta1,30.0,17.0,47.0
6,2014-05,2014.0,May,05,penta3,31.0,12.0,40.0
6,2014-02,2014.0,February,02,mcv1,17.0,12.0,45.0
6,2014-05,2014.0,May,05,mcv1,23.0,22.0,40.0
6,2014-07,2014.0,July,07,full_vacc,99.0,53.0,130.0
6,2014-12,2014.0,December,12,full_vacc,19.0,7.0,32.0
6,2015-10,2015.0,October,10,full_vacc,187.0,153.0,288.0
5,2013-11,2013.0,November,11,bcg,0.0,0.0,0.0
5,2013-12,2013.0,December,12,bcg,0.0,0.0,0.0
5,2014-03,2014.0,March,03,bcg,0.0,0.0,1.0
5,2014-04,2014.0,April,04,bcg,2.0,2.0,2.0
5,2014-09,2014.0,September,09,bcg,1.0,1.0,1.0
5,2014-11,2014.0,November,11,bcg,0.0,0.0,1.0
5,2014-08,2014.0,August,08,ipv,2.0,3.0,4.0
5,2015-08,2015.0,August,08,ipv,0.0,1.0,2.0
5,2015-05,2015.0,May,05,penta1,1.0,0.0,1.0
5,2015-08,2015.0,August,08,mcv1,0.0,0.0,0.0
5,2014-01,2014.0,January,01,rota2,1.0,1.0,1.0
5,2014-12,2014.0,December,12,rota2,0.0,0.0,1.0
5,2015-05,2015.0,May,05,full_vacc,1.0,3.0,5.0
5,2015-09,2015.0,September,09,full_vacc,1.0,1.0,2.0
4,2014-02,2014.0,February,02,bcg,0.0,0.0,0.0
4,2014-10,2014.0,October,10,bcg,1.0,1.0,1.0
4,2015-02,2015.0,February,02,bcg,0.0,0.0,0.0
4,2014-05,2014.0,May,05,ipv,1.0,0.0,0.0
4,2015-01,2015.0,January,01,ipv,0.0,0.0,1.0
4,2015-07,2015.0,July,07,ipv,0.0,0.0,0.0
4,2014-08,2014.0,August,08,penta1,1.0,0.0,2.0
