region,hf_id,hf_name,indicator,iqr,zscore,ttt
Amhara Regional Health Bureau,hUv3GE74ivd,Hasene Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,qdZAAgIRKBu,Derew Health Post,ipv,1.0,1.0,1.0
Amhara Regional Health Bureau,b3nBEpFiGAZ,Shinfa Health Post,mcv1,0.0,0.0,1.0
Amhara Regional Health Bureau,vvXo5KuQ1Ar,Halaku Health Post,ipv,0.0,0.0,1.0
Amhara Regional Health Bureau,PuOVM3sWLFF,Liwarie Health Post,rota2,0.0,0.0,1.0
Amhara Regional Health Bureau,xNnil8yQCL2,Zelalem Desta Health post,penta1,0.0,1.0,1.0
Amhara Regional Health Bureau,nYTXWFIn7Ne,Tebabit Health Post,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,VzfnQRyRLuw,Sagat Health Post,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,FcKZGoHW7PE,Sarzina Health Post,rota2,1.0,0.0,1.0
Amhara Regional Health Bureau,UjHs8PjMzRi,Eneba Arbatunsa Health Post,penta1,0.0,1.0,1.0
Amhara Regional Health Bureau,KwAfnSgmahJ,Gulha Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,a6cKjxmqsf0,Wobo Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,dqFVjet9arT,Teraroch Health Post,penta1,0.0,1.0,1.0
Amhara Regional Health Bureau,im0VUWWOfK3,Sirinka Health Center,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,dE5uxdcjmzM,Sendew girar Health Post,ipv,0.0,0.0,1.0
Amhara Regional Health Bureau,pRVhQJJRV65,Joga Health Post,ipv,0.0,0.0,0.0
Amhara Regional Health Bureau,rbCon3vaDTe,Tuliya Health Post,mcv1,0.0,0.0,2.0
Amhara Regional Health Bureau,tlLqzYM142W,Anchikorere Health Center,penta1,NaN,NaN,NaN
Amhara Regional Health Bureau,LvnxDyib4JV,Zembela Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,XonPaqo0psB,Debre Kelem Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,WlodqKonMxh,Defer Health Post,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,M1LTGfJ2GWF,Limichim Health Post,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,rvtWmGIhK42,Neguadit Health Post,rota2,0.0,0.0,1.0
Amhara Regional Health Bureau,cebDEcl46lm,Ayiseg Health Post,rota2,1.0,1.0,1.0
Amhara Regional Health Bureau,hy1uzj1IhyH,Giramta Health Post,bcg,NaN,NaN,NaN
Amhara Regional Health Bureau,hy1uzj1IhyH,Giramta Health Post,full_vacc,0.0,0.0,1.0
Amhara Regional Health Bureau,gqA1NWRApix,Azezo T/Haymanot Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,HXQJehy5D7t,Tebisa Health Post,full_vacc,0.0,0.0,0.0
Amhara Regional Health Bureau,YbOvXwwOKCB,Ayidie Health Post  ,ipv,0.0,0.0,1.0
Amhara Regional Health Bureau,YlU4kdv9s7q,Dudarba Health Post,rota2,1.0,1.0,1.0
Amhara Regional Health Bureau,JOFvl6FAHMl,Debre Selam Health Post,mcv1,2.0,1.0,1.0
