hf_id,hf_name,hf_type,ownership,level,region,zone,woreda,phcu
n36X46n2jeT,Agew Gimjabet Primary Hospital,Hospitals,Public,4,Amhara Regional Health Bureau,Awi ZHD,Agew Gimjabet Primary Hospital,
ptcPVNvSQQu,Agew Gimjabet Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
ujtrODFFY6e,3 Tu Gimjabet Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
KLbJWk3JWp2,Bekefta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
KuRkKsLQtcV,Deninatiquashita Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
ZNNq4rYiRqL,Gewena Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
H5YJaenDnix,Hateta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
lvK2mUHPAGE,Tirba Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
Oi1kLAtVaMP,Birhanu Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
HN3ZipQOuow,Buya Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Buya PHCU
j4puRkEx5oI,Baynagunsi Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Buya PHCU
xUH2jLRZIBM,Buya Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Buya PHCU
HL5qyaMnbQV,Dinqusha Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Buya PHCU
X46OIc3Chri,Dagim Primary Clinic ,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
HQL0zGDO8bR,Doctor Hiwot Medium Clinic ,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
aCBwzcoRl5m,Endale Hunegnaw Primary Clinic ,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
h1k231bzN2P,Haimanot Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
vp0YDp76tn3,Mesla Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Mesla PHCU
NmRZATvlh7L,Bakona Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Mesla PHCU
PBdnQn0TpIL,Mesla Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Mesla PHCU
RRkDQpKvg7l,Zewuladegeha Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Mesla PHCU
tudaPtN9u6m,Sintayehu Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
uHLKAHTBkVh,Tulta Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
rpW9a0QmNtZ,Ayisa Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
n7yrcUP0TYs,Dimama Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
dbuhWYUw9nN,Manja Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
MY2tyY1lrTN,Tulta Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
WQlbaAetU90,Abay Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Mn3n7UDYTKh,Abiye Kassahun Joiner Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
iKwqpLFj8Ml,Amber Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
q7M6CKyl5C9,Amero Medium Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
wKLRDfqdBSs,Andualem Joiner Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
dmRPWCzu7KO,Arsema Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
LJNxDFhb2n1,Ashu Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
m3VNuWNdntl,Asmamaw Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
gIUIj35RsPx,Ayehu Agricaltural Development,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
F7dSRSFnZ7G,Ayehu Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
y3GsS47vkC5,Arbit Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
eiTMgeRC6Le,Ayehu Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
kc1co6MMyrc,Dadie Dengsev Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
DM3Pd0sYqSY,Deguli Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
IXld7tKCmkB,Ehudet Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
ukVwNRwoa4w,Enebara Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
fCCvLHA91pq,Kupar Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
FDSzwZZed5f,Ayohu Zengnini,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Ap0fqA78uNx,Azena Health Center,Health Centers,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
PMYqSdXNhcY,3 Tu Segno Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
gLbrJytLwqI,Chibachibasa Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
YEtNNyheExr,Jabela Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
BHFamxMRBEg,Konzena Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
prRbryeXvtS,Shumata Health Post,Health Posts,Public,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
NvSHsKo0oUY,Banchiamlak Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
nbRcyxd1NiT,Beyene Primary Clinic,Clinics,Private,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
