Zone,Woreda,PHCU,Facility Name,Facility Type,OBJECTID_1,CSA HF Type,X,Y
South Wollo ZHD,Kombolcha Town WorHO,03 Kebele PHCU,03 Kebele Health Center,Health Centers,"32,124",3,580569.5772,1225251.348
South Wollo ZHD,Kombolcha Town WorHO,05 Kebele PHCU,06 Mutigar Health Post,Health Posts,"12,680",3,581843.3862,1231579.947
South Wollo ZHD,Kombolcha Town WorHO,05 Kebele PHCU,08 Mitikolo Health Post,Health Posts,"12,683",3,582863.841,1225826.002
South Wollo ZHD,Kombolcha Town WorHO,07 Kebele PHCU,07 Tuluadami Health Post,Health Posts,"12,682",2,578645.0695,1229679.783
Awi ZHD,Dangla Zuria,Abadra PHCU,Abadra Health Center,Health Centers,"9,618",6,258252.0912,1252030.899
Awi ZHD,Dangla Zuria,Abadra PHCU,Abadra Health Post,Health Posts,"9,626",2,257880.2475,1252320.126
Awi ZHD,Dangla Zuria,Abadra PHCU,Wufta Dati Health Post,Health Posts,"9,622",3,261344.4699,1254552.046
Awi ZHD,Dangla Zuria,Abadra PHCU,Manguda Health Post,Health Posts,"9,621",3,258449.0589,1259688.733
Gondar Town Woreda WorHO,Gebereal PHCU,Abaenteniwos Health Post,Abaenteniwos Health Post,Health Posts,"25,281",3,331019.8566,1397914.471
Central Gondar ZHD,Gondar Zuriya WorHO,Abawarka PHCU,Mitrha Abawarka Health Post,Health Posts,"13,468",3,347869.5729,1346144.808
Central Gondar ZHD,West Dembia WorHO,Abawuram PHCU,Guntir Health Post,Health Posts,"13,554",3,296813.12,1380904.243
Central Gondar ZHD,West Dembia WorHO,Abawuram PHCU,Abawuram Health Center,Health Centers,"13,560",2,305265.2322,1375673.297
Central Gondar ZHD,West Dembia WorHO,Abawuram PHCU,Abawuram Health Post,Health Posts,"13,556",3,307842.9683,1373299.361
North Shewa ZHD,Kewet WorHO,Abayater PHCU,Kaseager Health Post,Health Posts,"8,963",3,600040.029,1091127.952
North Shewa ZHD,Kewet WorHO,Abayater PHCU,Kureberet Health Post,Health Posts,"8,969",3,611306.0876,1086440.561
North Shewa ZHD,Kewet WorHO,Abayater PHCU,Medina Health Post,Health Posts,"12,339",3,538430.1717,1250503.076
North Gondar ZHD,Debark Zuria WorHO,Abaysquar PHCU,Kebeshiha Health Post,Health Posts,"14,173",3,353587.9858,1457055.474
North Gondar ZHD,Debark Zuria WorHO,Abaysquar PHCU,Chardqua Health Post,Health Posts,"14,169",3,349331.9891,1469316.225
North Gondar ZHD,Debark Zuria WorHO,Abaysquar PHCU,Abaysquar Health Post,Health Posts,"14,171",3,353673.4912,1463436.988
North Gondar ZHD,Debark Zuria WorHO,Abaysquar PHCU,Abaysquar Health Center,Health Centers,"14,172",2,353559.3949,1463348.221
East Gojjam ZHD,Sinan WorHO,Abazaje PHCU,Dangule Health Post,Health Posts,"11,041",3,372568.2603,1172957.515
East Gojjam ZHD,Sinan WorHO,Abazaje PHCU,Sinan Mariam Health Post,Health Posts,"11,051",3,369023.8321,1167569.309
North Wollo ZHD,Wadila WorHO,Abdiqom PHCU,Abdiqom Health Center,Health Centers,"13,226",2,503443.2279,1292203.437
North Wollo ZHD,Wadila WorHO,Abdiqom PHCU,Dibko Health Post,Health Posts,"13,114",2,492407.2599,1307566.53
North Wollo ZHD,Wadila WorHO,Abdiqom PHCU,Abdi qom Health Post,Health Posts,"13,231",3,503436.449,1292210.388
North Wollo ZHD,Wadila WorHO,Abdiqom PHCU,Wogedet Health Post,Health Posts,"13,225",3,508386.6826,1288315.28
West Gondar ZHD,Adagn Ager Chako WorHO,Abeba Mesk PHCU,Gaza Health Post,Health Posts,"13,913",3,281412.965,1405595.702
South Wollo ZHD,Kelela WorHO,Abetwuha PHCU,Abetwuha Health Center,Health Centers,"31,801",2,487807.4307,1157122.599
South Wollo ZHD,Kelela WorHO,Abetwuha PHCU,Endoge Health Post,Health Posts,"11,881",2,590142.7076,1222984.826
South Wollo ZHD,Kelela WorHO,Abetwuha PHCU,Abet Wuha Health Post,Health Posts,"31,802",3,488714.1225,1158200.581
West Gojjam ZHD,Sekela WorHO,Abiyot Chora PHCU,Abiyot Chora Health Center,Health Centers,"9,792",2,303149.74,1226765.329
West Gojjam ZHD,Sekela WorHO,Abiyot Chora PHCU,Gitm Terara Health Post,Health Posts,"9,793",3,300583.8423,1227144.763
West Gojjam ZHD,Sekela WorHO,Abiyot Chora PHCU,Gind Atemem Health Post,Health Posts,"9,787",3,305528.6805,1223569.702
West Gojjam ZHD,Sekela WorHO,Abiyot Chora PHCU,Abiyot Chora Health Post,Health Posts,"9,791",3,303132.0703,1226799.646
West Gojjam ZHD,Semen Mecha WorHO,Abiyot Fana PHCU,Abiyot Fana Health Center,Health Centers,"9,923",2,297663.4171,1252571.614
West Gondar ZHD,Mirab Armacho WorHO,Abrihajira PHCU,Drmaga Health post,Health Posts,"13,922",3,222590.5531,1476502.343
West Gondar ZHD,Mirab Armacho WorHO,Abrihajira PHCU,Zemene Merik 01 Health post,Health Posts,"13,925",3,228485.3322,1475506.658
West Gondar ZHD,Mirab Armacho WorHO,Abrihajira PHCU,Zemene Merik 02 Health post,Health Posts,"13,926",3,229862.1468,1475485.046
West Gondar ZHD,Mirab Armacho WorHO,Abrihajira PHCU,Girarwuha Health post,Health Posts,"13,928",6,216517.8342,1484550.622
