Health Facility name,Facility Type,Ownership,ID,level,Region,Zone,Woreda,PHCU
Agew Gimjabet Primary Hospital,Hospitals,Public,n36X46n2jeT,4,Amhara Regional Health Bureau,Awi ZHD,Agew Gimjabet Primary Hospital,
Agew Gimjabet Health Center,Health Centers,Public,ptcPVNvSQQu,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
3 Tu Gimjabet Health Post,Health Posts,Public,ujtrODFFY6e,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
Bekefta Health Post,Health Posts,Public,KLbJWk3JWp2,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
Deninatiquashita Health Post,Health Posts,Public,KuRkKsLQtcV,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
Gewena Health Post,Health Posts,Public,ZNNq4rYiRqL,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
Hateta Health Post,Health Posts,Public,H5YJaenDnix,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
Tirba Health Post,Health Posts,Public,lvK2mUHPAGE,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Agew Gimjabet PHCU
Birhanu Medium Clinic,Clinics,Private,Oi1kLAtVaMP,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
Buya Health Center,Health Centers,Public,HN3ZipQOuow,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Buya PHCU
Baynagunsi Health Post,Health Posts,Public,j4puRkEx5oI,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Buya PHCU
Buya Health Post,Health Posts,Public,xUH2jLRZIBM,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Buya PHCU
Dinqusha Health Post,Health Posts,Public,HL5qyaMnbQV,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Buya PHCU
Dagim Primary Clinic ,Clinics,Private,X46OIc3Chri,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
Doctor Hiwot Medium Clinic ,Clinics,Private,HQL0zGDO8bR,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
Endale Hunegnaw Primary Clinic ,Clinics,Private,aCBwzcoRl5m,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
Haimanot Medium Clinic,Clinics,Private,h1k231bzN2P,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
Mesla Health Center,Health Centers,Public,vp0YDp76tn3,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Mesla PHCU
Bakona Health Post,Health Posts,Public,NmRZATvlh7L,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Mesla PHCU
Mesla Health Post,Health Posts,Public,PBdnQn0TpIL,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Mesla PHCU
Zewuladegeha Health Post,Health Posts,Public,RRkDQpKvg7l,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Mesla PHCU
Sintayehu Primary Clinic,Clinics,Private,tudaPtN9u6m,5,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,
Tulta Health Center,Health Centers,Public,uHLKAHTBkVh,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
Ayisa Health Post,Health Posts,Public,rpW9a0QmNtZ,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
Dimama Health Post,Health Posts,Public,n7yrcUP0TYs,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
Manja Health Post,Health Posts,Public,dbuhWYUw9nN,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
Tulta Health Post,Health Posts,Public,MY2tyY1lrTN,6,Amhara Regional Health Bureau,Awi ZHD,Ankasha Guagusa,Tulta PHCU
Abay Primary Clinic,Clinics,Private,WQlbaAetU90,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Abiye Kassahun Joiner Clinic,Clinics,Private,Mn3n7UDYTKh,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Amber Primary Clinic,Clinics,Private,iKwqpLFj8Ml,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Amero Medium Clinic,Clinics,Private,q7M6CKyl5C9,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Andualem Joiner Clinic,Clinics,Private,wKLRDfqdBSs,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Arsema Primary Clinic,Clinics,Private,dmRPWCzu7KO,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Ashu Primary Clinic,Clinics,Private,LJNxDFhb2n1,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Asmamaw Primary Clinic,Clinics,Private,m3VNuWNdntl,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Ayehu Agricaltural Development,Clinics,Private,gIUIj35RsPx,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Ayehu Health Center,Health Centers,Public,F7dSRSFnZ7G,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
Arbit Health Post,Health Posts,Public,y3GsS47vkC5,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
Ayehu Health Post,Health Posts,Public,eiTMgeRC6Le,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
Dadie Dengsev Health Post,Health Posts,Public,kc1co6MMyrc,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
Deguli Health Post,Health Posts,Public,DM3Pd0sYqSY,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
Ehudet Health Post,Health Posts,Public,IXld7tKCmkB,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
Enebara Health Post,Health Posts,Public,ukVwNRwoa4w,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
Kupar Health Post,Health Posts,Public,fCCvLHA91pq,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Ayehu PHCU
Ayohu Zengnini,Clinics,Private,FDSzwZZed5f,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Azena Health Center,Health Centers,Public,Ap0fqA78uNx,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
3 Tu Segno Health Post,Health Posts,Public,PMYqSdXNhcY,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
Chibachibasa Health Post,Health Posts,Public,gLbrJytLwqI,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
Jabela Health Post,Health Posts,Public,YEtNNyheExr,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
Konzena Health Post,Health Posts,Public,BHFamxMRBEg,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
Shumata Health Post,Health Posts,Public,prRbryeXvtS,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Azena PHCU
Banchiamlak Primary Clinic,Clinics,Private,NvSHsKo0oUY,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Beyene Primary Clinic,Clinics,Private,nbRcyxd1NiT,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Bezabih Medium Clinic,Clinics,Private,sL6aUNAbWlc,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Degera Health Center,Health Centers,Public,IxQ0bXcCqGy,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Degera PHCU
Ambera Health Post,Health Posts,Public,YpbPNtNykGV,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Degera PHCU
Degera Health Post,Health Posts,Public,h3loFPe9nj9,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Degera PHCU
Degu Ferede Joiner Clinic,Clinics,Private,QsqyrUDsSdC,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Dessalnge Junior Clinic,Clinics,Private,VgIWovib2Sc,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Dires Joiner Clinic,Clinics,Private,vBRTnAheTB9,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Dr Getaye Medium Clinic,Clinics,Private,OpM6k8N3ngJ,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Dr Mulatu Medium Clinic,Clinics,Private,Z8wHTKtFHcn,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Dr Yohannes Medium Clinic,Clinics,Private,DDJWLThw2Ru,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Felege Ghion Medium Clinic ,Clinics,Private,emLLkQYCbaY,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Ferew Joiner Clinic,Clinics,Private,Gy0D4CyvInV,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Fitun Medium Clinic,Clinics,Private,CyJAHCOprPg,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Germa Junior  Clinic,Clinics,Private,TD4ZZ63zGCS,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Ghion Medium Clinic,Clinics,Private,iijeitrY46D,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Kidanemihiret Primary Clinic,Clinics,Private,NjgXwUgpd59,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Lukas Primary Clinic,Clinics,Private,fyuSjUpVPZP,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Misganaw Medium Clinic,Clinics,Private,XTqocxCeU1V,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Mulat Joiner Clinic,Clinics,Private,kInduckjkhQ,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Mullunesh Joiner Clinic,Clinics,Private,K1Nb4ADD6fL,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Mulusew Primary Clinic,Clinics,Private,RZG4HqXUKYT,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Nibret Primary Clinic,Clinics,Private,L4rqR0njLlz,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Tadese Primary Clinic,Clinics,Private,wB3FCRba5UB,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Tesfay Primary Clinic,Clinics,Private,lMSZ8q57NeP,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Tsegaye Primary Clinic,Clinics,Private,SfP01rlzTE2,5,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,
Wunbiri Wundigi Health Center,Health Centers,Public,kCSdpERhrQc,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
Ambela Health Post,Health Posts,Public,bffXJFqjRiF,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
Chaja Giwrgis Health Post,Health Posts,Public,Dr1t9V8E6hJ,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
Chaja Kibirta Health Post,Health Posts,Public,X80UAI0isFI,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
Chaja Mikael Health Post,Health Posts,Public,VgBMLs5oYgv,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
Gori Ena Zaga Health Post,Health Posts,Public,tIN4qnw3D7J,6,Amhara Regional Health Bureau,Awi ZHD,Ayehu Guagusa,Wunbiri Wundigi PHCU
