ZHD,Woreda/ZHD/RHB,periodname,Denom - Estimated number of 0-2 months with sepsis/VSD,Denom - Estimated number of 12 - 24 months children,Denom - Estimated number of <15 year children 1,Denom - Estimated number of <5 year children,Denom - Estimated number of HIV positive pregnant women,Denom - Estimated number of Leprosy cases,Denom - Estimated number of Non-pregnant women aged 15-49 year,Denom - Estimated number of STI cases,Denom - Estimated number of adult population living with HIV ,Denom - Estimated number of adults  in the catchment area,Denom - Estimated number of adults age 15-24 within the catchment area,Denom - Estimated number of adults age 15-59 within the catchment area,Denom - Estimated number of all forms of TB cases in the population,Denom - Estimated number of child population living with HIV ,Denom - Estimated number of children  aged 24 - 59 months ,Denom - Estimated number of children aged 6-59 months,Denom - Estimated number of diabetic cases,Denom - Estimated number of girls (14 years old),Denom - Estimated number of girls (9 years old),Denom - Estimated number of hypertensive cases,Denom - Estimated number of live birth,Denom - Estimated number of neonates with birth asphyxia case,Denom - Estimated number of networked in 1 to 5 ,Denom - Estimated number of patients with CVD risk  ≥ 30%,Denom - Estimated number of people living with HIV ,Denom - Estimated number of people tested for HCT,Denom - Estimated number of pregnant women,Denom - Estimated number of surviving infants,Denom - Estimated number of under 2 yrs children,Denom - Estimated number of under 5 children with diarrhea cases,Denom - Estimated number of under 5 children with pneumonia,Denom - Estimated number of women age 30-49 within the catchment area,Denom - Expected number of deliveries,Denom - Total catchment population - female,Denom - Total catchment population - male,Denom - Total number of HHs in the catchment,Denom - Total number of Oncocerciasis MDA eligible population ,Denom - Total number of Rural HHs,Denom - Total number of Schistosomiasis MDA eligible population,Denom - Total number of Urban HHs,Denom - Total number of Urban kebele,Denom - Total number of catchment population,Denom - Total number of kebele,Denom - Total number of lymphatic filariasis MDA eligible population ,Denom - Total number of rural kebele,Denom - Total number of trachoma MDA eligible population 
Waghimera ZHD,Abergele WorHO,Ham 2010 to Sen 2011,152.8,1157.3,25431.4,8077.4,18.1,3.6,12068.4,1145.4,,34222,12345.2,30677.5,97.8,,5064.8,7683.7,,733.8,,,1974.6,19.7,,,,,2010.4,1855.3,3012.6,8077.4,2180.9,6810.3,2010.4,30425,29231,13873.5,51578.6,11653.7,17300.2,2219.8,1.2,59656,21.2,51304.2,19.9,59656
Waghimera ZHD,Abergele WorHO,Ham 2011 to Sen 2012,155,1858,25839,8209,18.4,4,12261,1164,,34768,12542,31167,99,,5148,7806,,745,,,2042,20,,,,,2042,1884.9,3060,8209,2216,6919,2042,30910,29697,14095,52400.8,11653.7,17576,2219.8,1.2,60607,21.2,51304.2,19.9,60607
Waghimera ZHD,Abergele WorHO,Ham 2012 to Sen 2013,150.2,1135.1,24997.9,7941.3,17.8,1.9,11861.5,1125.8,,,12133.6,30151.7,88.5,,4980.7,7552,1876.3,723.5,,5381.7,1975.9,2.8,13635.7,,,,1975.9,1825.8,2960.6,7941.3,2144.2,11257.6,1975.9,,,13635.7,50694.5,11454,17003.7,2181.7,1.2,58633.4,21.2,50694.5,19.9,58633.4
Waghimera ZHD,Abergele WorHO,Ham 2013 to Sen 2014,151.1,1144.2,25143.9,7988.5,14.5,1.9,11932,1132.4,496.6,32097.3,11763.4,28806.1,82.6,38.6,5010.3,7596.8,1091.3,725.5,,5007.2,1987.7,82.6,13635.7,,,,1987.7,1836.7,2978.6,7988.5,2156.9,6488,1987.7,29372.5,29609.3,13716.7,0,13716.7,17104.7,0,1,58981.7,17,0,16,58981.7
Waghimera ZHD,Abergele WorHO,Ham 2014 to Sen 2015,152.1,1140.1,25315.7,8042.3,16.2,1.8,12012.3,1140.1,,35790,12133.6,32128.6,77.2,,5044,7648,35790,730.4,4037.8,35790,2001.1,200.1,13635.7,,,,2001.1,1849,2998.6,8134.9,2196.4,6531.7,2001.1,29787.4,29591.5,13809,0,13809,44.4,0,1,59378.9,17,0,16,153.1
West Gondar ZHD,Adagn Ager Chako WorHO,Ham 2010 to Sen 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,17.5,,16.2,
West Gondar ZHD,Adagn Ager Chako WorHO,Ham 2011 to Sen 2012,119,0,19760,6277,14.1,3,9376,890,,26588,9591,23834,76,,3937,5970,,570,,,1562,15.3,,,,,1562,1441.4,2340,6277,1695,5291,1562,23637,22711,10779,40072.5,,13440.9,,1.2,46348,17.4,,16.2,46348
West Gondar ZHD,Adagn Ager Chako WorHO,Ham 2012 to Sen 2013,120.3,909.2,20022.4,6360.7,14.2,1.5,9500.7,901.7,,,9718.6,24150.4,65.7,,3989.4,6048.9,1502.8,579.5,,4310.5,1582.7,2.2,10921.7,,,,1582.7,1462.4,2371.4,6360.7,1717.4,9016.9,1582.7,,,10921.7,40604.4,9174.2,13619.3,1747.5,1.2,46963.2,17.5,40604.4,16.2,46963.2
West Gondar ZHD,Adagn Ager Chako WorHO,Ham 2013 to Sen 2014,121.4,919.4,20203.6,6418.9,11.7,1.5,9587.6,909.9,399,26713.5,10246.8,24307,66.3,29.7,4025.8,6104.2,908.3,582.9,,4167.3,1597.1,66.3,10921.7,,,,1597.1,1475.8,2393.3,6418.9,1733.1,5213.2,1597.1,23032.3,24360.5,11021.6,0,10212.9,13743.9,808.7,1,47392.8,14,0,13,47392.8
West Gondar ZHD,Adagn Ager Chako WorHO,Ham 2014 to Sen 2015,122.5,918.7,20399.2,6480.4,13.1,1.4,9679.5,918.7,,28839.3,9718.6,25889,62.2,,4064.4,6162.7,28839.3,588.5,3253.6,28839.3,1612.4,161.2,10921.7,,,,1612.4,1489.9,2416.3,6555.1,1769.9,5263.2,1612.4,24002.5,23844.6,11127.2,0,10310.8,28.7,816.5,1,47847.1,14,0,13,99.1
